Week,Name,Pos,Team,Opp,Projected,Actual,Injury?
2,Isiah Pacheco,RB,KC,JAX,12.6,8,N
2,Dalvin Cook,RB,NYJ,DAL,10.4,0.2,N
2,Brandon Aiyuk,WR,SF,LAR,13.9,7.3,N
2,Jerry Jeudy,WR,DEN,WAS,11.7,5.5,N
2,David Montgomery,RB,DET,SEA,13.6,12.4,Y
2,Drake London,WR,ATL,GB,11,18.7,N
2,George Pickens,WR,PIT,CLE,11.4,22.7,N
2,Marquise Brown,WR,ARI,NYG,12.1,17.4,N
2,Christian Kirk,WR,JAX,KC,10.4,21.96,N
2,Kirk Cousins,QB,MIN,PHI,17.9,28.56,N
2,D'Andre Swift,RB,PHI,MIN,12.1,27.1,N
2,Michael Pittman Jr.,WR,IND,HOU,13.4,13.6,N
2,Dak Prescott,QB,DAL,NYJ,15.7,19.6,N
2,Khalil Herbert,RB,CHI,TB,10.5,6.8,N
2,Courtland Sutton,WR,DEN,WAS,11.2,11.6,N
2,Jahan Dotson,WR,WAS,DEN,11.7,5.2,N
2,A.J. Dillon,RB,GB,ATL,15.4,7.3,N
2,Jaxon Smith-Njigba,WR,SEA,DET,11.3,8.4,N
2,Brian Robinson Jr.,RB,WAS,DEN,10.7,28.9,N
2,Geno Smith,QB,SEA,DET,17.6,23.12,N
2,Russell Wilson,QB,DEN,WAS,15.8,25.92,N
2,Tua Tagovailoa,QB,MIA,NE,17.9,12.26,N
2,Daniel Jones,QB,NYG,ARI,18.1,30.74,N
2,Anthony Richardson,QB,IND,HOU,17.6,17.74,Y
2,Sam Howell,QB,WAS,DEN,14.9,21.26,N
2,Matthew Stafford,QB,LAR,SF,14.2,13.98,N
2,Jared Goff,QB,DET,SEA,15.7,22.92,N
2,Jimmy Garoppolo,QB,LV,BUF,14.9,7.5,N
2,Jordan Love,QB,GB,ATL,15.3,20.34,N
2,Derek Carr,QB,NO,CAR,14.6,6.72,N
2,Mac Jones,QB,NE,MIA,14.2,13.74,N
2,Baker Mayfield,QB,TB,CHI,15.5,18.38,N
2,Ryan Tannehill,QB,TEN,LAC,15.4,21.04,N
2,Kenny Pickett,QB,PIT,CLE,13.8,10.28,N
2,Bryce Young,QB,CAR,NO,12.7,13.52,N
2,Brock Purdy,QB,SF,LAR,17.1,14.74,N
2,C.J. Stroud,QB,HOU,IND,14.1,21.46,N
2,Desmond Ridder,QB,ATL,GB,12.4,21.38,N
2,Joshua Dobbs,QB,ARI,NYG,13,25.22,N
2,Jamaal Williams,RB,NO,CAR,13.2,2.9,Y
2,Raheem Mostert,RB,MIA,NE,12.4,25.7,N
2,Michael Thomas,WR,NO,CAR,11.4,12.5,N
2,Odell Beckham Jr.,WR,BAL,CIN,10.1,5.9,Y
2,Nico Collins,WR,HOU,IND,10.2,27.6,N
2,Gabe Davis,WR,BUF,LV,11.6,21.2,N
2,Tyler Higbee,TE,LAR,SF,10,4.2,N
2,Zach Wilson,QB,NYJ,DAL,13.2,8.4,N
2,Joshua Kelley,RB,LAC,TEN,14.3,3.9,N
2,Tyler Allgeier,RB,ATL,GB,13.2,4.8,N
2,Kyren Williams,RB,LAR,SF,11.5,28,N
2,Zack Moss,RB,IND,HOU,10.2,20.7,N
2,Zay Flowers,WR,BAL,CIN,12.2,10.8,N
2,Puka Nacua,WR,LAR,SF,12.2,30.1,N
2,Zay Jones,WR,JAX,KC,11.9,0,N
2,Jordan Addison,WR,MIN,PHI,11.7,16.2,N
2,Tutu Atwell,WR,LAR,SF,10.5,15.2,N
2,Treylon Burks,WR,TEN,LAC,10.3,10.6,N
2,Romeo Doubs,WR,GB,ATL,10,5,N
3,Justin Jefferson,WR,MIN,LAC,23.1,27.9,N
3,Ja'Marr Chase,WR,CIN,LAR,20,26.1,N
3,Christian McCaffrey,RB,SF,NYG,21.1,22.9,N
